fecha,casos_acumulados,estimado,tipo,modelo,fecha_estimacion
2020-03-08,1819,CoronaMex,simulacion,m3,2020-05-05
2020-03-09,2203,CoronaMex,simulacion,m3,2020-05-05
2020-03-10,2665,CoronaMex,simulacion,m3,2020-05-05
2020-03-11,3222,CoronaMex,simulacion,m3,2020-05-05
2020-03-12,3893,CoronaMex,simulacion,m3,2020-05-05
2020-03-13,4640,CoronaMex,simulacion,m3,2020-05-05
2020-03-14,5508,CoronaMex,simulacion,m3,2020-05-05
2020-03-15,6427,CoronaMex,simulacion,m3,2020-05-05
2020-03-16,7428,CoronaMex,simulacion,m3,2020-05-05
2020-03-17,8527,CoronaMex,simulacion,m3,2020-05-05
2020-03-18,9732,CoronaMex,simulacion,m3,2020-05-05
2020-03-19,11055,CoronaMex,simulacion,m3,2020-05-05
2020-03-20,12506,CoronaMex,simulacion,m3,2020-05-05
2020-03-21,14098,CoronaMex,simulacion,m3,2020-05-05
2020-03-22,15845,CoronaMex,simulacion,m3,2020-05-05
2020-03-23,17742,CoronaMex,simulacion,m3,2020-05-05
2020-03-24,19795,CoronaMex,simulacion,m3,2020-05-05
2020-03-25,22009,CoronaMex,simulacion,m3,2020-05-05
2020-03-26,24394,CoronaMex,simulacion,m3,2020-05-05
2020-03-27,26971,CoronaMex,simulacion,m3,2020-05-05
2020-03-28,29756,CoronaMex,simulacion,m3,2020-05-05
2020-03-29,32764,CoronaMex,simulacion,m3,2020-05-05
2020-03-30,36013,CoronaMex,simulacion,m3,2020-05-05
2020-03-31,39521,CoronaMex,simulacion,m3,2020-05-05
2020-04-01,43312,CoronaMex,simulacion,m3,2020-05-05
2020-04-02,47410,CoronaMex,simulacion,m3,2020-05-05
2020-04-03,51847,CoronaMex,simulacion,m3,2020-05-05
2020-04-04,56661,CoronaMex,simulacion,m3,2020-05-05
2020-04-05,61883,CoronaMex,simulacion,m3,2020-05-05
2020-04-06,67547,CoronaMex,simulacion,m3,2020-05-05
2020-04-07,73687,CoronaMex,simulacion,m3,2020-05-05
2020-04-08,80344,CoronaMex,simulacion,m3,2020-05-05
2020-04-09,87560,CoronaMex,simulacion,m3,2020-05-05
2020-04-10,95384,CoronaMex,simulacion,m3,2020-05-05
2020-04-11,103880,CoronaMex,simulacion,m3,2020-05-05
2020-04-12,112823,CoronaMex,simulacion,m3,2020-05-05
2020-04-13,122044,CoronaMex,simulacion,m3,2020-05-05
2020-04-14,131587,CoronaMex,simulacion,m3,2020-05-05
2020-04-15,141483,CoronaMex,simulacion,m3,2020-05-05
2020-04-16,151754,CoronaMex,simulacion,m3,2020-05-05
2020-04-17,162419,CoronaMex,simulacion,m3,2020-05-05
2020-04-18,173494,CoronaMex,simulacion,m3,2020-05-05
2020-04-19,184997,CoronaMex,simulacion,m3,2020-05-05
2020-04-20,196944,CoronaMex,simulacion,m3,2020-05-05
2020-04-21,209352,CoronaMex,simulacion,m3,2020-05-05
2020-04-22,222240,CoronaMex,simulacion,m3,2020-05-05
2020-04-23,235624,CoronaMex,simulacion,m3,2020-05-05
2020-04-24,249524,CoronaMex,simulacion,m3,2020-05-05
2020-04-25,263961,CoronaMex,simulacion,m3,2020-05-05
2020-04-26,278954,CoronaMex,simulacion,m3,2020-05-05
2020-04-27,294524,CoronaMex,simulacion,m3,2020-05-05
2020-04-28,310694,CoronaMex,simulacion,m3,2020-05-05
2020-04-29,327486,CoronaMex,simulacion,m3,2020-05-05
2020-04-30,344924,CoronaMex,simulacion,m3,2020-05-05
2020-05-01,363031,CoronaMex,simulacion,m3,2020-05-05
2020-05-02,381834,CoronaMex,simulacion,m3,2020-05-05
2020-05-03,401358,CoronaMex,simulacion,m3,2020-05-05
2020-05-04,421631,CoronaMex,simulacion,m3,2020-05-05
2020-05-05,442680,CoronaMex,simulacion,m3,2020-05-05
2020-02-15,19,CoronaMex,simulacion,m4,2020-05-05
2020-02-16,20,CoronaMex,simulacion,m4,2020-05-05
2020-02-17,24,CoronaMex,simulacion,m4,2020-05-05
2020-02-18,31,CoronaMex,simulacion,m4,2020-05-05
2020-02-19,40,CoronaMex,simulacion,m4,2020-05-05
2020-02-20,52,CoronaMex,simulacion,m4,2020-05-05
2020-02-21,67,CoronaMex,simulacion,m4,2020-05-05
2020-02-22,86,CoronaMex,simulacion,m4,2020-05-05
2020-02-23,108,CoronaMex,simulacion,m4,2020-05-05
2020-02-24,135,CoronaMex,simulacion,m4,2020-05-05
2020-02-25,168,CoronaMex,simulacion,m4,2020-05-05
2020-02-26,208,CoronaMex,simulacion,m4,2020-05-05
2020-02-27,251,CoronaMex,simulacion,m4,2020-05-05
2020-02-28,303,CoronaMex,simulacion,m4,2020-05-05
2020-02-29,366,CoronaMex,simulacion,m4,2020-05-05
2020-03-01,441,CoronaMex,simulacion,m4,2020-05-05
2020-03-02,532,CoronaMex,simulacion,m4,2020-05-05
2020-03-03,642,CoronaMex,simulacion,m4,2020-05-05
2020-03-04,779,CoronaMex,simulacion,m4,2020-05-05
2020-03-05,949,CoronaMex,simulacion,m4,2020-05-05
2020-03-06,1161,CoronaMex,simulacion,m4,2020-05-05
2020-03-07,1422,CoronaMex,simulacion,m4,2020-05-05
2020-03-08,1746,CoronaMex,simulacion,m4,2020-05-05
2020-03-09,2141,CoronaMex,simulacion,m4,2020-05-05
2020-03-10,2627,CoronaMex,simulacion,m4,2020-05-05
2020-03-11,3226,CoronaMex,simulacion,m4,2020-05-05
2020-03-12,3959,CoronaMex,simulacion,m4,2020-05-05
2020-03-13,4794,CoronaMex,simulacion,m4,2020-05-05
2020-03-14,5697,CoronaMex,simulacion,m4,2020-05-05
2020-03-15,6657,CoronaMex,simulacion,m4,2020-05-05
2020-03-16,7681,CoronaMex,simulacion,m4,2020-05-05
2020-03-17,8788,CoronaMex,simulacion,m4,2020-05-05
2020-03-18,9989,CoronaMex,simulacion,m4,2020-05-05
2020-03-19,11292,CoronaMex,simulacion,m4,2020-05-05
2020-03-20,12707,CoronaMex,simulacion,m4,2020-05-05
2020-03-21,14244,CoronaMex,simulacion,m4,2020-05-05
2020-03-22,15915,CoronaMex,simulacion,m4,2020-05-05
2020-03-23,17727,CoronaMex,simulacion,m4,2020-05-05
2020-03-24,19696,CoronaMex,simulacion,m4,2020-05-05
2020-03-25,21838,CoronaMex,simulacion,m4,2020-05-05
2020-03-26,24167,CoronaMex,simulacion,m4,2020-05-05
2020-03-27,26698,CoronaMex,simulacion,m4,2020-05-05
2020-03-28,29450,CoronaMex,simulacion,m4,2020-05-05
2020-03-29,32441,CoronaMex,simulacion,m4,2020-05-05
2020-03-30,35693,CoronaMex,simulacion,m4,2020-05-05
2020-03-31,39228,CoronaMex,simulacion,m4,2020-05-05
2020-04-01,43069,CoronaMex,simulacion,m4,2020-05-05
2020-04-02,47237,CoronaMex,simulacion,m4,2020-05-05
2020-04-03,51752,CoronaMex,simulacion,m4,2020-05-05
2020-04-04,56639,CoronaMex,simulacion,m4,2020-05-05
